obszar,lokacja,cena,przestrzeń_m2,cena_m2,ilość_pokoi
lubelskie,"Biała Podlaska, lubelskie",570000,,3434,5
lubelskie,"Góra Puławska, puławski, lubelskie",890000,,5235,6
lubelskie,"Oblasy, lubelskie",1330000,,6333,4
lubelskie,"Jeziory, lubelskie",399000,,3325,4
lubelskie,"Sitaniec Wolica, Zamość, lubelskie",260000,,3683,3
lubelskie,"Motycz, lubelskie",750000,,6250,5
lubelskie,"Terespol, lubelskie",299000,,1790,5
lubelskie,"ul. Rurowa, Łuków, lubelskie",530000,,3786,5
lubelskie,"Motycz, lubelski, lubelskie",359000,,4724,2
lubelskie,"Malinówka, lubelskie",265000,,2789,3
lubelskie,"Rogóźno, lubelskie",360000,,5271,3
lubelskie,"Lublin, Sławin",799000,,6146,5
lubelskie,"Chełm, Bazylany",849000,,3753,3
lubelskie,"Piotrowice, lubelskie",890000,,6082,5
lubelskie,"Żurawiniec, lubelskie",229000,,2544,2
lubelskie,"Zamość, Karolówka",365000,,1217,10+
lubelskie,"Piotrowice, lubelski, lubelskie",700000,,4836,4
lubelskie,"Świdnik, lubelskie",1499000,,5604,7
lubelskie,"Kębło, lubelskie",1385000,,8497,6
lubelskie,"Jastków, lubelskie",688000,,7644,4
lubelskie,"POLANÓWKA  dz.364/5, Prawiedniki, lubelskie",639000,,4664,5
lubelskie,"Natalin, lubelskie",1080000,,5856,5
lubelskie,"ul. Głęboka, Piaski, lubelskie",730000,,4867,4
lubelskie,"ul. Amelin, Rakowiska, lubelskie",1330000,,4463,5
lubelskie,"Rogóźno, lubelskie",389000,,5118,3
lubelskie,"ul. Juliana Opani, Puławy, lubelskie",895000,,5737,5
lubelskie,"Łany, krasnostawski, lubelskie",295000,,2107,4
lubelskie,"Biała Podlaska, lubelskie",565000,,3979,4
lubelskie,"ul. Hutnicza, Lubartów, lubelskie",560000,,4667,5
lubelskie,"Lublin, Konstantynów, Władysława Ruckiego",890000,,4684,2
lubelskie,"Lublin, Sławin, Sławinkowska",1147160,,8574,4
lubelskie,"Lublin, Konstantynów, ul. Mieczysława Romanowskiego",1350000,,8385,5
lubelskie,"Rogóźno, lubelskie",325000,,3611,4
lubelskie,"Borowica, lubelskie",890000,,2150,6
lubelskie,"Uniszowice, lubelskie",720000,,3812,6
lubelskie,"Konopnica, lubelskie",1249000,,5081,5
lubelskie,"Lublin, Dziesiąta",1249000,,8355,6
lubelskie,"Kamionka, lubelskie",1099000,,18317,2
lubelskie,"Lublin, Szerokie",2100000,,10500,7
lubelskie,"Lublin, Czechów, Jurajska",1200000,,10135,4
lubelskie,"Kolano-Kolonia, lubelskie",640000,,4267,5
lubelskie,"Konopnica, lubelskie",605000,,3025,4
lubelskie,"Rybitwy, lubelskie",419000,,4656,3
lubelskie,"Grabniak, włodawski, lubelskie",649000,,4723,4
lubelskie,"Elizówka, lubelskie",990000,,5101,5
lubelskie,"Elizówka, lubelskie",1050000,,5084,5
lubelskie,"Jastków, lubelskie",770443,,5265,6
lubelskie,"Jastków, lubelskie",770287,,5264,6
lubelskie,"Lublin, Dziesiąta, Władysława Kunickiego",920000,,6571,7
lubelskie,"Lwowska, Krasnystaw, lubelskie",409000,,1885,10+
lubelskie,"Tarzymiechy Drugie, Tarzymiechy Drugie, krasnostawski, lubelskie",225000,,1250,5
lubelskie,"Turka, lubelskie",950000,,6597,6
lubelskie,"Jaszczów, lubelskie",770000,,4639,5
lubelskie,"Prawiedniki, lubelskie",800000,,5882,2
lubelskie,"ul. Sławacińska, Biała Podlaska, lubelskie",650000,,3611,6
lubelskie,"Świdnik, lubelskie",899000,,6659,4
lubelskie,"Grabniak, lubelskie",280000,,3294,3
lubelskie,"Biała Podlaska, lubelskie",369000,,3804,2
lubelskie,"Lublin, Dziesiąta",599000,,7423,4
lubelskie,"Lublin, Sławin, Sławinkowska",960000,,5333,8
lubelskie,"Rudka Kozłowiecka, lubelskie",599000,,2995,5
lubelskie,"Tomaszowice-Kolonia, lubelskie",1350000,,5488,6
lubelskie,"Sobianowice, lubelskie",880000,,4694,4
lubelskie,"Elizówka, lubelskie",700000,,6310,4
lubelskie,"Lublin, Choiny",1400000,,5714,10+
